name,recipie,category,image_name,image_ext,image_url
Cucumber Mint Lemonade,"8 oz. premium lemonade
1 pump(s) Monin Cucumber Concentrated Flavor
1 pump(s) Monin Mint Concentrated Flavor

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657671_0454266.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/7/0/7069d0dd-2272-4e2b-b467-bfc2000793ae-2.png
Cucumber Raspberry Palmer,"ice
1/2 oz. Monin Raspberry Syrup
1/4 oz. Monin Cucumber Syrup
4 oz. fresh made lemonade
3 oz. fresh brewed tea

Combine ingredients in serving glass.
Stir or shake to mix.
Float juice on top.
Garnish.",lemonade,1725657675_8841476.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/8/7/87d28a28-5b73-4b11-a70c-224f2f7dcf00-1_1.png
Delightful Blackberry Cobbler Lemonade,"3/4 oz. Monin Zero Calorie Natural Vanilla
6 mL Monin Blackberry Concentrated Flavor
4 oz. lemonade
2 oz. club soda

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657681_059422.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/0/8/080b86d0-b7cc-49b6-8c2b-b4f357c24c0f-2.png
Delightful Fresh Berry Lemonade,"ice
1 1/2 oz. fresh lemon juice
3/4 oz. Monin Zero Calorie Natural Raspberry
6 oz. filtered water

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Stir gently to mix.
Add garnish and serve.",lemonade,1725657686_415397.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/6/f/6ff37181-8d25-4aaf-87f5-a65a0218e97d-2_1.png
Desert Pear Lemonade,"ice
7 oz. lemonade
3/4 oz. Monin Desert Pear® Syrup

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Stir gently to mix.
Add garnish and serve.",lemonade,1725657691_2916782.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/b/e/be174e8f-a1bd-4390-bcb9-056fb26de8f3-1.png
Desert Pear Spiked Lemonade,"1 1/2 oz. silver tequila
5 oz. lemonade
3/4 oz. Monin Desert Pear® Syrup
1 oz. pineapple juice
ice

Fill serving glass full of ice.
Pour ingredients into mixing tin in order listed.
Add ice from serving glass.
Cap, shake and pour back into serving glass.
Add garnish and serve.",lemonade,1725657696_1963375.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/8/e/8eaf828e-12bf-40ae-b4bc-36bef29ccbd7-1.png
Desert Pineapple Lemonade,"1 oz. Monin Desert Pear® Syrup
4 oz. lemonade
2 oz. pineapple juice

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Add garnish and serve.",lemonade,1725657701_277672.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/d/e/desert_pineapple_lemonade.png
Double Berry Lemonade,"1 pump(s) Monin Strawberry Concentrated Flavor
1 pump(s) Monin Blueberry Concentrated Flavor
7 lemonade

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Stir gently to mix.
Add garnish and serve.",lemonade,1725657706_12421.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/d/o/double_berry_lemonade.png
Dragon Fruit Punch,"1 strawberries
3/4 oz. Monin Strawberry Syrup
ice
1 1/2 oz. dragon berry rum
3 oz. fresh agave sour mix
1 oz. lemon-lime soda

Muddle fruit/herbs and Monin product(s) in shaker.
Add remaining ingredients  except sparkling beverage.
Cap and shake vigorously.
Pour into serving glass and add any needed ice.
Top with sparkling beverage and garnish.",lemonade,1725657711_032174.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/e/2/e2e78971-987f-4746-b153-ad4c67e22448-2.png
Dragon Fruit Sparkling Limeade,"1 oz. Monin Dragon Fruit Syrup
1 oz. fresh lime juice
Top with:
6 oz. club soda

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657716_1930325.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/4/1/41c27b4d-1985-4e5b-823d-25b20dcfeae2-2.png
Dragon Passion Juice,"1/2 oz. Monin Dragon Fruit Syrup
1/2 oz. Monin Passion Fruit Syrup
4 oz. pineapple juice
1/2 oz. fresh lime juice

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657721_202669.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/d/r/dragon_passion_juice.png
Dragon's Passion,"1/2 oz. Monin Dragon Fruit Syrup
7 oz. lemonade
1/4 cup(s) Popping Boba

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657726_2950985.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/d/r/dragon_s_passion.png
Easy Lemonade,"ice
2 oz. Monin Lemon Syrup
3 lemon wedge, squeezed
6 oz. water

Fill serving glass with ice.
Add remaining ingredients in the order listed.
Stir well or transfer from serving glass to other glass and back to mix.
Garnish.",lemonade,1725657731_3392258.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/5/8/584248dd-b3ad-412a-896e-033dd2178314-1.png
Exotic Citrus Lemonade,"3/4 oz. Monin Exotic Citrus Syrup
7 oz. lemonade
ice

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Stir gently to mix.
Add garnish and serve.",lemonade,1725657736_2823443.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/8/0/80ddfd62-67cf-4dc1-aba5-37fa7dbbd052-1_1.png
Firebirds Grilled Lemonade,"2 ea. Grilled lemon slice(s)
3 mL Monin Ginger Concentrated Flavor
7 oz. lemonade

Chill serving glass.
Place ingredients into bottom of mixing glass and muddle.
Fill mixing glass 2/3 full of ice and pour remaining ingredients in order listed.
Cap, shake and strain into chilled serving glass.
Add garnish and serve.",lemonade,1725657741_2483041.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/6/3/63f464c2-7eba-4366-b716-3a12dcdc4134-2.png
